"tweet","text","location"
48,"@realDonaldTrump Hi Trump supporters, Donald doesn’t actually believe this, but he’s using it as an excuse to pepper you with solicitation emails for his “Election Defense Fund.” Read the fine print— your money gets split between paying down his campaign debt and the RNC. He’s shaking you down.","New Hampshire"
49,"Can you say rac. Ist?","New Hampshire"
50,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","New Hampshire"
51,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","New Hampshire"
52,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
53,"We win.  The West wins.  Liberty wins.  Tradition wins.  And I'm not just talking about an election.  We win.  We won.","New Hampshire"
54,"Should recount carefully to avoid Biden steeling tickets","New Hampshire"
55,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
56,"Nancy is so silly","New Hampshire"
57,"How about an election integrity audit?!","New Hampshire"
58,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Hampshire"
59,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
60,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
61,"Major kudos to @MeidasTouch and others for their effective attack on the law firms supporting Donald Trump’s war on democracy.  It was our efforts that caused @JonesDay and others to stand down in this election.  This is how we pressure companies to do the right thing.","New Hampshire"
62,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","New Hampshire"
63,"Ok it is hilarious that Fox News kissed Trump’s ass for years and now the MAGAs hate them because they committed the unforgivable crime of... announcing the election results","New Hampshire"
64,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
65,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Hampshire"
66,"""This claim about election fraud is disputed?"" By whom? By the ones who committed it? Of course, that makes more sense.","New Hampshire"
67,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Hampshire"
68,"@nrdufour The main reason to suspect more fraud IMO is because a large number of people see Trump as an evil, fascist dictator, akin to Hitler.

People would be far more willing to break the law to remove a dictator than they otherwise would in an ordinary election. https://t.co/iHyAmBxbRk","New Hampshire"
69,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","New Hampshire"
70,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","New Hampshire"
71,"Chris Wallace during the first debate: “Will you pledge not to declare victory until the election is independently certified?”

Joe Biden: “Yes.”

Whoops. https://t.co/LNasGOyGx5","New Hampshire"
72,"@realDonaldTrump If you had an issue with the election system, you had 4 years as president to fix it.","New Hampshire"
73,"@arelab13 The DHS were in on the coup. They hired spygate figure Alexandria Chalupa. They hired Brett Kimberlin, a former terrorist hacker for ""election security"" in 2016

In 2018, they hired Soros Backed Voting Works led by this man &amp; then lied to POTUS saying our elections were secure https://t.co/AoDaJ7YjzZ","New Hampshire"
74,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","New Hampshire"
75,"In Georgia the Difference In President-Only Ballots Between President Trump and Biden Is Statistically Impossible Indicating Obvious Election Fraud: In the Georgia election, 800 ballots were marked only for President Trump, but 96,800 were marked only… https://t.co/zNO8eOXWZT https://t.co/o18WWbC64X","New Hampshire"
76,"Reminds me of a carpenter’s joke:
“I don’t know what’s wrong here. I’ve cut it three times and it’s still too short!” https://t.co/EexoiAqD1C","New Hampshire"
77,"State Counsellor Daw Aung San Suu Kyi @OfficialSuuKyi, I extend my warm congratulations on the safe, peaceful general election successfully held in Myanmar even in the midst of the COVID-19 pandemic. I hope our countries will closely work together hand in hand, going forward.","New Hampshire"
78,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","New Hampshire"
79,".","New Hampshire"
80,"Great news, Georgia! You’re voting again soon! Request your absentee ballot now to get it in time for the holidays. Because this year’s hottest gift is Representative Democracy! #BetterKnowABallot","New Hampshire"
81,"Factually this is absurd. But consider the assumptions/a sense of what’s not criminal. He’s explaining how you might get it close enough that the scotus could help steal the race. SCOTUS throws out the results of the election in PA.","New Hampshire"
82,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Hampshire"
83,"""The bottom line is they are going to try to do to Joe Biden just like they tried to do to Barack Obama — they're not going to allow him to pass his agenda ... Those are the stakes of this election,"" Georgia Senate candidate Jon Ossoff tells @JoyAnnReid. https://t.co/fZfE3IXAcg","New Hampshire"
84,"FACT: @SidneyPowell1 is the role model  for EVERY American who cherishes Freedom, Liberty, Election Integrity &amp; The Truth! Time for Every American to feed off her Courage &amp; Patriotism &amp; Take Our Country Back! @GenFlynn @JosephJFlynn1 @GoJackFlynn @BarbaraRedgate @RichardGrenell","New Hampshire"
85,"Michigan GOP Lawmakers Demand Fraud Audit Before Election Is Certified https://t.co/GYEZuyJKIw","New Hampshire"
86,"@realDonaldTrump STOLEN ELECTION..!!!!","New Hampshire"
87,"@maggieNYT https://t.co/zlbMNlYhAf","New Hampshire"
88,"@New_Narrative @maggieNYT alert! ""Covid Kushner"" in NYC
https://t.co/zlbMNlYhAf","New Hampshire"
89,"@sarahkliff @maggieNYT https://t.co/zlbMNlYhAf","New Hampshire"
90,"pretty incredible that three second-term progressive women are somehow more at fault than the speaker of the house","New Hampshire"
91,"@RudyGiuliani https://t.co/DZiwVollvD","New Hampshire"
92,"@realDonaldTrump This massive“ Dominion election fraud and the pallets of ballots mail-in fraud orchestrated by Dems must not be certified as legit!","New Hampshire"
93,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
94,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","New Hampshire"
95,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","New Hampshire"
96,"NEW: President Trump’s string of losses in court in recent days extended beyond his effort to challenge the outcome of the election: Defamation lawsuits he filed against two news organizations were also dismissed this week. https://t.co/kfIOIXS8YN","New Hampshire"
97,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","New Hampshire"
98,"The president-elect narrative is cleverly designed to make you think past the sale. The sale is that Biden won the election fairly, and nothing remains but to inaugurated him. 

But is that really the case?

Look at this engineered persuasion from the NYT:","New Hampshire"
99,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Hampshire"
100,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
101,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","New Hampshire"
102,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","New Hampshire"
103,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","New Hampshire"
104,"""Philadelphia's election system had collapsed under ""a massive scheme"" by Democrats to steal a State Senate election in November, a Federal judge today took the rare step of invalidating the vote &amp; ordered the seat filled by the Republican"" 

Interesting
https://t.co/8CnZANauIW","New Hampshire"
105,"Fitton: 2020 Election Update https://t.co/rLgZ6xWGDE via @BreitbartNews","New Hampshire"
106,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","New Hampshire"
107,"We’re fighting to protect the integrity of our elections — not only for this election, but for all of our elections to come. https://t.co/tiGDRm2Oik","New Hampshire"
108,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","New Hampshire"
109,"Exactly. For more than 4 years, FBI, Dems, &amp; press have tried to disenfranchise Trump voters. The idea half the country should fold because media that targeted Trump since 2016 says so is a sinister joke. Head up, chin down, move forward Team America. The rest of you, suck eggs.","New Hampshire"
110,"After Donald Trump won the 2016 election, the spying on him did not stop. 
Under orders from the 7th Floor (Comey, McCabe) the FBI intensified their surveillance of Trump's team based on false pretences.
My book exposes it all. 
👇
https://t.co/CI8o3TqTpC","New Hampshire"
111,"@WWG1WGAMAGA95 @johniadarola @realDonaldTrump Trump and Rudy are delusional pathological liars. You’re going to need to show evidence of enormous widespread fraud to overturn the election as it wasn’t close in the end","New Hampshire"
112,"“With regard to the U.S. election, we are going to wait until all the legal matters have been resolved.”

#Mexico's President again says he will not recognise a winner of the US presidential #Elections until all legal disputes are resolved.

https://t.co/evqhtLOgm5","New Hampshire"
113,"Pelosi on Election Day: ""Democrats are poised to further strengthen our majority.""

Pelosi today: ""I never said that we were going to pick up"" seats. https://t.co/6s14zfA3LO","New Hampshire"
114,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” https://t.co/gWRo70m5Dx","New Hampshire"
115,"Amazing","New Hampshire"
116,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","New Hampshire"
117,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","New Hampshire"
118,"Fraud","New Hampshire"
