"tweet","text","location"
46,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
47,"Thanks Nancy. 

We will fight.","New Mexico"
48,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
49,"So I have to carry around proof that I took the vaccine to go to a concert but I don’t need an ID to vote in an election?","New Mexico"
50,"NOTHING WAS STOPPING TRUMP &amp; HIS ECONOMY. RE-ELECTION WAS IMMINENT. Then the China virus? Could it be that Soros, the Clinton's, Obama &amp; the DemocRAT party schemed with China to RELEASE THE VIRUS? BUT IT GOT AWAY FROM THEM, NOW TRY TO BLAME TRUMP? THINK ABOUT IT? 🐘 TRUMP 2020 🐘","New Mexico"
51,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","New Mexico"
52,"Pro-Trump supporters rally in Lansing for verification of Michigan votes in presidential election https://t.co/YJf1BLLqLo","New Mexico"
53,"@kirstiealley Trump's likes and retweets have been way higher post election. Go look.","New Mexico"
54,"@KelemenCari @StaceyBJones11 @kirstiealley The should get all Biden voter to march. Judge by crowd should determine the outcome of election!","New Mexico"
55,".@kanyewest should do a twat or two about that 

Then watch twitter...🤯

https://t.co/JkIeVWG0iS","New Mexico"
56,"Remember when Joe and Kamala won the election a week ago today &amp; they’re still the winners because Trump lost? That was awesome  #BidenHarrisVictoryDay #MillionMoronMarch https://t.co/I11RXSyGsK","New Mexico"
57,"There have been over one million new cases of covid in the United States since Election Day, and some people still refuse to wear a mask. 

It’s a freakin’ piece of cloth people, not a muzzle. 

Quit your whining, and wear a bloody mask.","New Mexico"
58,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","New Mexico"
59,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","New Mexico"
60,"GEORGIA.🗳️

One week before the election.

PBS (Public Broadcasting Systems) does a deep dive on Georgia's use of Dominion Voting Systems machines.

What they found was troubling.🔽 https://t.co/RzwI3spw4Z","New Mexico"
61,"Canada’s Election 2019  Results and Dominion Voting System, CE0, John Poulos &amp; Trudeau are linked.  Who is prepared to investigate what John did for his friend @JustinTrudeau ?","New Mexico"
62,"We’re going to need your support. Since the election, Parler has added millions of new users eager to speak freely about issues &amp; concerns with the process. 
The tech tyrants cannot tolerate free speech. They hate it. 
They will do their best to stop us. But we will NOT go away. https://t.co/h6QSOd5BHx","New Mexico"
63,"@realDonaldTrump 1) Get your story straight. Kayleigh said 1 million, you say hundreds of thousands. By nonpartisan accts, it was a few thousand. 2) More importantly, there is zero evidence of widespread election irregularities. All you’ve got is hot air. Biden won by a landslide, get over it!!!","New Mexico"
64,"Who is responsible for the widespread election fraud we are experiencing?","New Mexico"
65,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","New Mexico"
66,"@realDonaldTrump Ivanka was awarded voting machine trademarks from China. Does this mean Ivanka is rigging the election against the GOP, RNC or her WH??????","New Mexico"
67,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","New Mexico"
68,"Trump is losing Georgia yet again in the recount, so he demands they call it off","New Mexico"
69,"Boies and Olson, the two lawyers on opposite sides of the Bush v. Gore case in 2000, agree that ""Biden won the election"" and that this year ""bears no resemblance"" to the Florida recount. 

https://t.co/IzVeObT12k","New Mexico"
70,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","New Mexico"
71,"#ObamaBidenGate The most corrupt administration EVER!!","New Mexico"
72,"Amazing https://t.co/U2PE2JWnEy","New Mexico"
73,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
74,"👀","New Mexico"
75,"foreign peoples shall vote in our election. “We the People demand this.”

Our people deserve a fair and honest election so the people may be represented by their choice in a President. 

Respectfully,

United States Citizen
Carlise J. Bocci","New Mexico"
76,"Very shady indeed.","New Mexico"
77,"Very shady indeed...but that whole lot is shady.","New Mexico"
78,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","New Mexico"
79,"You watching this ?! Yeah you at the @TheJusticeDept @FBI @CIA  @SCOTUSblog   @Scotus . 

WE THE PEOPLE DEMAND THAT THE CASE TO OVERTURN THIS FRAUD AND THEFT AND CORRUPTION BY DEMOCRATS BE STOPPED AND THE RIGHTFUL WINNER HAVE 4 MORE YEARS THAT HE RIGHTFULLY WON 
#Constitution","New Mexico"
80,"An unverified ballot is an unverified vote. Unverified votes make for unverified election results. Unverified election results undermine faith in democracy itself #Election2020results","New Mexico"
81,"Winning","New Mexico"
82,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","New Mexico"
83,"DOMINION.🗳️

""We began to look and realized how easy it is to change votes.""

Election security expert @RussRamsland has performed many investigations on US election machines.

The most *shocking* thing about this interview is it took place just days BEFORE the election. Watch🔻 https://t.co/53Kcxmne2e","New Mexico"
84,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New Mexico"
85,"@realDonaldTrump It's s coup President Trump. You are our only hope to save America. God bless you. You won the election.

#StopTheSteal 
#Trump2020 

Follow Cyrus I=@restartleader https://t.co/vphfWFgYp7","New Mexico"
86,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
87,"@SidneyPowell1 @realDonaldTrump @RudyGiuliani @marklevinshow @TomFitton They’ve already charged a social worker in Mexia with 134 felony counts in election fraud violations as I’m sure y’all know! Just worth repeating for Twitter!","New Mexico"
88,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
89,"Dates to watch for state election certifications.
https://t.co/lLbFhOBp7w","New Mexico"
90,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
91,"Georgie this is gross.  We are a democracy and we are better than this.  Too me, Transparent or your stalling and look guilty.","New Mexico"
92,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","New Mexico"
93,"Amazing","New Mexico"
94,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","New Mexico"
95,"We are..collect(ing) evidence on the financial interests on some of the Governors and SoSs who actually bought in to the D o m i n i o n systems.. to line their own pockets by getting the voting machine in that would.. assure their election was successful. 
-@SidneyPowell1","New Mexico"
96,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","New Mexico"
97,"Narcissist in Chief. While the pandemic rages across the country, Trump spends his day plotting how he can overturn the election results. Fortunately, we will soon have a president who believes in science and who is prepared to serve the American people, not himself.","New Mexico"
98,"We are making progress in reforming a broken and racist criminal justice system. New prosecutors across the country are being elected who want to end the ""war on drugs."" Instead of throwing more people in jail, they want to address the causes of crime.  
https://t.co/suy9xnw0U8","New Mexico"
99,"When you peacefully protest that Black Lives Matter, Donald Trump will tear-gas you.

When you take to the streets to overthrow a Democratic election, Donald Trump will join you.

#MarchForTrump is a march for fascism.","New Mexico"
100,"@realDonaldTrump Pompeo discusses China at the National Governors Association https://t.co/HtBezKx6tj

How many of our governors are compromised by the Chinese Communist Party 🇨🇳?  

Is this why @GovKemp @dougducey @SteveSisolak @GovernorTomWolf @GovWhitmer @GovEvers are avoiding election audits?","New Mexico"
101,"This is one of the clearest examples of a political appointee prioritizing humoring Trump over the public interest.

Biden won the election. But his ability to transition - including shifting to a sane COVID policy - is being delayed by @GSAEmily. https://t.co/N3eyj9elNS","New Mexico"
102,"The nationwide push for better election security since 2016 had an important side benefit: helping officials run a remarkably successful election with historic turnout during a pandemic. https://t.co/XJskLEsR0Y","New Mexico"
103,"Trump won!!!!!","New Mexico"
104,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
105,"@realDonaldTrump No we won’t We will continue to #FightBack🇺🇸❤️🇺🇸 We won’t stay silent anymore We won’t stand for #BidenCrimeFamiy to steal our election❣️🇺🇸❤️","New Mexico"
106,"This election was the most secure in American history. 

Putin lost.

Democracy won.","New Mexico"
107,"Well I don't seem to be achieving much today but on the other hand I haven't wasted a ton of money going to DC and maybe getting COVID in order to march in support of a guy who genuinely doesn't care whether I live or die, and will still have lost the election tomorrow.","New Mexico"
108,"@NJSpotlightNews @JoannaGagisNJ Trump committed 2 campaign-finance felonies months before the 2016 election. 12/7/18: ""... to both payments, he acted in coordination with and at the direction of Individual-1."" https://t.co/iXf4JfdRRC. https://t.co/YhlmW6N3eu","New Mexico"
