"tweet","text","location"
38,"Cuomo on a coronavirus vaccine: ""To the extent the president was politicizing the process, he lost the election. I think everybody knows that. I don't think the FDA is going to play games at this point. So I don't anticipate any real issue."" https://t.co/00KjxlnNKs","Louisiana"
39,"Media: @Acosta to @wolfblitzer: ""@realDonaldTrump is pretending he still has a chance to win the 2020 election. That's not true. Just a short while ago in the Rose Garden, he took no questions and appeared to come out in front of the cameras to soothe his damaged ego."" https://t.co/JmP5bMmQu3","Louisiana"
40,"NOW:He left again. My question: “You lost the election. When will you admit you lost the election.” He took no questions ⁦@realDonaldTrump⁩ https://t.co/LbK3a3to10","Louisiana"
41,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Louisiana"
42,"Barack Obama was the MOST CORRUPT president in US history. I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","Louisiana"
43,"BREAKING: Republican Young Kim wins election to U.S. House in California's 39th Congressional District, beating incumbent Rep. Gil Cisneros. 

Another house seat flipped.","Louisiana"
44,"In 2020 if you say the election was hijacked you can get banned 

In 2017 if you said the election was hijacked you can be Speaker of the House","Louisiana"
45,"If Joe Biden wants to unify the country, he should wait until we confirm we had a fair election.","Louisiana"
46,"Governor @BrianKempGA,  we need your leadership with the election right now. Georgia is better than what the Nation is saying about us!","Louisiana"
47,"Release the Kraken: @SidneyPowell1 vows to expose the Silicon Valley and left-wing corporations that are using their power to help Democrats steal the election from @realDonaldTrump. #MAGA #AmericaFirst #Dobbs https://t.co/EPJSfUZqM2","Louisiana"
48,"Flight now or loose America you know !! #GodSaveAmerica","Louisiana"
49,"Would it greatly concern you if all of the votes in the 2020 Presidential election were routed to Amazon servers in Barcelona &amp; Frankfurt before being reported or is it just me?

#FightBack for No Hacked Elections","Louisiana"
50,"Remember 2016 and how the media didn't accept the election results
And now in 2020  media doesn't accept the FRAUD
#Censorship","Louisiana"
51,"The @ap calling the election for Joe Biden isn't how this works. That's not how any of this works. 

I cannot find the ap listed anywhere in this constitutional document. 

End.","Louisiana"
52,"The certificates must list the names of the electors chosen by the voters and the number of votes received in the popular election results, also the names of all losing candidates for elector, and the number of votes they received. Certificates of Ascertainment, which are often","Louisiana"
53,"Watch CA?","Louisiana"
54,"The fear in her eyes and voice is what I’d expect from a prisoner pleading for his life in a North Korean show trial","Louisiana"
55,"“Engineering much of the post-election purge is Johnny McEntee, a former college quarterback who was hustled out of the White House two years ago after a security clearance check turned up a prolific habit for online gambling.” https://t.co/Wq9mEmztoD","Louisiana"
56,"#Smartmatic and #DominionVotingSystems are inextricably intertwined! 
#Soros no. 2 man #Lord Malloch Brown heads up #Dominion funded by corrupt criminal communist money from #VZ #Cuba w/ #CCP.
.@realDonaldTrump has all the evidence 
@RudyGiuliani 
@BernardKerik 
@replouiegohmert","Louisiana"
57,"@ClimateAudit @SidneyPowell1 @realDonaldTrump @RudyGiuliani @BernardKerik @replouiegohmert If proof exists that foreign countries tried to hijack a Federal Election with interference and money, would you be for military action?","Louisiana"
58,"@SidneyPowell1 @realDonaldTrump @RudyGiuliani @BernardKerik @replouiegohmert :Collective Soul: :Souls of America: :Biden theme:

Greatest Election Heist in history...","Louisiana"
59,"A columnist in Las Vegas ran a test and county officials accepted fake signatures 8 times on ballots. 

This is not ok.  https://t.co/90R7qEfJxt","Louisiana"
60,"“They placed us in a small corner so that we can’t see anything.”

2 GOP #PollWatchers left the counting center in #Nevada’s #ClarkCounty in frustration, after what they say were deliberate efforts to obstruct them from viewing the ballot handling. https://t.co/lvkbfSXgai","Louisiana"
61,"They know the election over right?","Louisiana"
62,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Louisiana"
63,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","Louisiana"
64,"トランプ大統領は2018年に「米国の選挙で外国の干渉が発生した場合に特定の制裁を課す大統領令」に署名していた。この事態を見越していた？
 https://t.co/mFaEWOZtcm","Louisiana"
65,"Donald Trump received more re-election votes than any incumbent president in American history and you’re telling me that the man whose rallies couldn’t fill a parking lot got more and “won?”

🤔","Louisiana"
66,"@SharonShepshan @EpochTimes This country is going to be chaotic once Trump wins the next election. They need to sue @foxnews and other networks that lied to the nation.","Louisiana"
67,"@SharonShepshan @EpochTimes This country is going to be chaotic once Trump wins the next election. They need to sue @foxnews and other networks that lies to the nation.","Louisiana"
68,"“Engineering much of the post-election purge is Johnny McEntee, a former college quarterback who was hustled out of the White House two years ago after a security clearance check turned up a prolific habit for online gambling.” https://t.co/Wq9mEmztoD","Louisiana"
69,"I’m not a Democrat. I’m a former Republican. But this must be said every single day: 

What these Republicans are doing right now - enabling Donald Trump to  bludgeon an American election - will do permanent damage to our democracy. 

Shame on these Republicans. Fuck them.","Louisiana"
70,"Milwaukee, Wisconsin:

🚨[MUST READ THREAD]🚨

BREAKING THE CHAIN OF CUSTODY

Claire Woodall-Vogg admits she forgot one of the flash drives back in the counting area. It then passed through multiple hands with no over site and was counted in the official results. https://t.co/GwvRU9DuJC","Louisiana"
71,"The only folks usually afraid of audits are the Madoffs of the world. Why are so many election officials afraid of an audit of the signatures of the absentee ballots?","Louisiana"
72,"Many people in the media refused to even acknowledge concerns over Hunter Biden’s business dealings, but we are supposed to trust what they are saying now about the election?","Louisiana"
73,"Ahem....@GOP @senatemajldr @FoxNews","Louisiana"
74,"Trump puts Giuliani in charge of election lawsuits: report https://t.co/ppO2r0nZuO https://t.co/YsgaUPjCrV","Louisiana"
75,"""Philadelphia's election system had collapsed under ""a massive scheme"" by Democrats to steal a State Senate election in November, a Federal judge today took the rare step of invalidating the vote &amp; ordered the seat filled by the Republican"" 

Interesting
https://t.co/8CnZANauIW","Louisiana"
76,"https://t.co/p9zc68uUGT","Louisiana"
77,"https://t.co/cMxQOw1wN8","Louisiana"
78,"https://t.co/RA0kMxmf5x","Louisiana"
79,"https://t.co/C4PuPPkvaG","Louisiana"
80,"https://t.co/4i6pedidyy","Louisiana"
81,"NOW:He left again. My question: “You lost the election. When will you admit you lost the election.” He took no questions ⁦@realDonaldTrump⁩ https://t.co/LbK3a3to10","Louisiana"
82,"Check out my interview with Rudy Giuliani &amp; Jenna Ellis about the Dominion Voting Systems disaster. 
I promise, it’s an eye opener.
Watch here 👇🏻 https://t.co/CYv6Npe18M","Louisiana"
83,"We’re fighting to protect the integrity of our elections — not only for this election, but for all of our elections to come. https://t.co/tiGDRm2Oik","Louisiana"
84,"I love how upset this has made people. For having won a fair election, they seem awfully upset!","Louisiana"
85,"16 Federal Prosecutors Tell Their Boss, Bill Barr, There’s No Evidence of Election Stealing https://t.co/kM7PUsHgGD","Louisiana"
86,"Pennsylvania’s anti-Trump Secretary of State says “no recount”!

Meanwhile, she has been rebuked by courts for unconstitutionally interfering in the election process. 

She oversaw an election beset by equal protection violations!

Litigation continues‼️","Louisiana"
87,"After multiple failed coup attempts on President Trump, they turned 2020 into a:

Digital Coup: Mass censorship, rigging traffic

Physical coup: Lockdowns, mask mandates, quarantines &amp; election shifting 

Mental coup: Psychological fear warfare

Spiritual coup: Closed churches","Louisiana"
88,"Somebody needs to teach the media that hundreds of sworn affidavits in multiple states are most certainly “evidence” of widespread election fraud","Louisiana"
89,"The Kennedy family had mafia crews canvassing graveyards in every Catholic neighborhood in the country but this guy’s entire plane for rigging the election in his favor was just “file some half-asses lawsuits and complain on Twitter.” They don’t make em like they used to! https://t.co/a47x6Lm9ny","Louisiana"
90,"STUNNING TESTIMONY: Michigan Election Observer Shane Trejo Witnessed Drivers Bring in 50 Boxes of ""Absentee Ballots"" After Midnight Deadline into Detroit TCF Center at 3:30am https://t.co/98dPmPmGYn","Louisiana"
91,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Louisiana"
92,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","Louisiana"
93,"""Never bet against me"": Trump makes first post-election comments, lays out what he sees as path to victory. ""It's probably two weeks, three weeks"" to know outcome, president says. Read @JustTheNews @RealAmVoice  https://t.co/Nn4bvkXxQD","Louisiana"
94,"REMINDER #2: Laptop w/encrypted USB drives stolen from #Philadelphia in September.

Memory sticks used to program Philly’s voting machines were stolen from elections warehouse. https://t.co/AS4eonhQsN","Louisiana"
95,"Wow. This is exactly what happened to us. Great courage by judge! https://t.co/p86FXdcBl2","Louisiana"
96,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Louisiana"
97,"Seriously. It’s quite remarkable. The election was almost two weeks ago. It’s been obvious since the day after that Trump lost. And he’s still locked in the bunker pretending he won. I mean THATS REALLY WEIRD!","Louisiana"
98,"This Marc Elias is a true American hero. His efforts over many many months have stopped Trump and his minions from coming anywhere close to stealing this election. I'd like to think the system absent Marc would have done it anyway, but Marc and his team made it not close.","Louisiana"
99,"US election 2020: Biden takes Georgia to solidify victory

https://t.co/T5oi69SprK","Louisiana"
